,Symbol,GeneID,Alias,Description,mutADAR WT mock 1,mutADAR WT mock 2,mutADAR WT mock 3,mutADAR ZBP1ko mock 1,mutADAR ZBP1ko mock 2,mutADAR ZBP1ko mock 3,baseMean,log2FoldChange,pvalue,padj
AGER,AGER,11596,RAGE,advanced glycosylation end product-specific receptor,5.044224738,4.817706405,5.529853219,4.028522439,4.50927995,4.897182119,27.94389997,0,1,1
ALOX12,ALOX12,11684,9930022G08Rik|Alox12p|P-12LO,arachidonate 12-lipoxygenase,1.400368549,1.54921757,3.070421601,1.443559938,1.049848331,3.897182119,4.194308614,0,1,1
ALOX15,ALOX15,11687,12-LO|12/15-LO|15-LOX|Alox12l|L-12LO,arachidonate 15-lipoxygenase,3.892221645,3.844673453,4.157884442,5.028522439,5.50927995,5.704537041,25.80394654,0,1,1
ALOX5,ALOX5,11689,5-LO|5-LOX|5LO|5LX|AI850497|F730011J02,arachidonate 5-lipoxygenase,3.685770767,3.674748452,3.655384101,4.25091486,3.857203253,2.897182119,12.73035364,0,1,1
AREG,AREG,11839,AR|Mcub|Sdgf,amphiregulin,6.377648472,6.008649188,6.157884442,6.728962157,6.980585669,6.98464496,93.03677271,-0.21191909,0.764090796,0.798822195
ARG1,ARG1,11846,AI|AI256583|Arg-1|PGIF,arginase_ liver,3.985331049,4.020523288,4.070421601,3.028522439,4.049848331,4.897182119,16.09608739,0,1,1
ATF2,ATF2,11909,Atf-2|CRE-BP|Creb2|D130078H02Rik|D18875|Tg(Gzma-Klra1)7Wum|mXBP,activating transcription factor 2,10.69814461,10.71549479,10.58513565,10.63585275,10.71873332,10.79804893,1654.181331,-0.003566765,0.975808877,0.975808877
BCL2L1,BCL2L1,12048,Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1,BCL2-like 1,9.88720357,9.990652759,9.609580412,10.38900377,10.391923,10.11635064,1070.537061,0.395609225,0.010369038,0.025922594
BCL6,BCL6,12053,Bcl5,B cell leukemia/lymphoma 6,6.258349544,6.342451383,6.11481572,5.691487451,5.956738927,6.06710712,67.26690729,-2.255500733,0.006099107,0.016783834
BIRC2,BIRC2,11797,AW146227|Api1|Api2|Birc3|C330006D17Rik|HIAP1|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF48|cIAP1|cIAP2|mcIAP1,baculoviral IAP repeat-containing 2,9.380508126,9.301674245,9.509213453,8.700947781,8.649761173,8.625102573,521.9862131,-1.016779954,0.000664818,0.004247448
